lexemeId,lemma,image
http://www.wikidata.org/entity/L320812,focusing,
http://www.wikidata.org/entity/L323638,marching,
http://www.wikidata.org/entity/L16933,hoop,http://commons.wikimedia.org/wiki/Special:FilePath/YussupovaHoop.jpg
http://www.wikidata.org/entity/L321630,halfpenny,
http://www.wikidata.org/entity/L24318,major,http://commons.wikimedia.org/wiki/Special:FilePath/British%20Army%20OF-3.svg
http://www.wikidata.org/entity/L37661,motorcyclist,
http://www.wikidata.org/entity/L468933,runaway greenhouse effect,
http://www.wikidata.org/entity/L7276,exploration,
http://www.wikidata.org/entity/L25067,quill,http://commons.wikimedia.org/wiki/Special:FilePath/Quill%20%28PSF%29%20vector.svg
http://www.wikidata.org/entity/L48252,wheelwright,http://commons.wikimedia.org/wiki/Special:FilePath/Gruffydd%20Williams%2C%2071%20years%20old%2C%20from%20Ty%E2%80%99n%20Coed%2C%20Bodffordd%2C%20Anglesey%20%E2%80%93%20a%20wheelwright%20by%20trade%20%288719666281%29.jpg
http://www.wikidata.org/entity/L323761,medley,
http://www.wikidata.org/entity/L326874,robber,
http://www.wikidata.org/entity/L3418,birth,http://commons.wikimedia.org/wiki/Special:FilePath/Stork%20with%20new-born%20child.png
http://www.wikidata.org/entity/L319279,denouement,
http://www.wikidata.org/entity/L307657,betrayal,
http://www.wikidata.org/entity/L325851,preface,
http://www.wikidata.org/entity/L298678,azimuth,
http://www.wikidata.org/entity/L14911,hog,
http://www.wikidata.org/entity/L328422,stampede,
http://www.wikidata.org/entity/L319586,disparagement,
http://www.wikidata.org/entity/L464852,earthlight,
http://www.wikidata.org/entity/L40498,pancreas,
http://www.wikidata.org/entity/L37183,mainstream,
http://www.wikidata.org/entity/L323065,landscaper,
http://www.wikidata.org/entity/L32509,encephalitis,http://commons.wikimedia.org/wiki/Special:FilePath/Hsv%20encephalitis.jpg
http://www.wikidata.org/entity/L326644,repentance,
http://www.wikidata.org/entity/L290324,horseshoe,
http://www.wikidata.org/entity/L295003,minion,
http://www.wikidata.org/entity/L301224,impeller,http://commons.wikimedia.org/wiki/Special:FilePath/Dam%20generator%20impeller.jpg
http://www.wikidata.org/entity/L34568,Ghanaian,
http://www.wikidata.org/entity/L23502,hazel,
http://www.wikidata.org/entity/L317695,capsizing,http://commons.wikimedia.org/wiki/Special:FilePath/Seawise%20University%20wreck.jpg
http://www.wikidata.org/entity/L36793,insectarium,
http://www.wikidata.org/entity/L468909,global warming potential,
http://www.wikidata.org/entity/L326559,regicide,
http://www.wikidata.org/entity/L5624,holiday,http://commons.wikimedia.org/wiki/Special:FilePath/Carnaval%202014%20-%20Rio%20de%20Janeiro%20%2812973844805%29.jpg
http://www.wikidata.org/entity/L316068,adventurer,
http://www.wikidata.org/entity/L40943,phycology,
http://www.wikidata.org/entity/L17014,zoom,
http://www.wikidata.org/entity/L328030,snips,http://commons.wikimedia.org/wiki/Special:FilePath/Blechschere.jpg
http://www.wikidata.org/entity/L324389,needlework,http://commons.wikimedia.org/wiki/Special:FilePath/Costurera%2C%20Mahdia%2C%20T%C3%BAnez%2C%202016-09-03%2C%20DD%2003.jpg
http://www.wikidata.org/entity/L41270,primatology,
http://www.wikidata.org/entity/L325697,poncho,http://commons.wikimedia.org/wiki/Special:FilePath/Poncho.jpg
http://www.wikidata.org/entity/L41917,resilience,
http://www.wikidata.org/entity/L31862,interruption,
http://www.wikidata.org/entity/L5843,weekend,
http://www.wikidata.org/entity/L13551,expenditure,
http://www.wikidata.org/entity/L32522,endodontist,
http://www.wikidata.org/entity/L317939,chaser,
http://www.wikidata.org/entity/L14542,excitement,
http://www.wikidata.org/entity/L317200,bombard,http://commons.wikimedia.org/wiki/Special:FilePath/Bombarde%20si%20b%C3%A9mol.jpg
http://www.wikidata.org/entity/L24325,manse,
